"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100pF","~","","1",""
"C2","470pF","~","","1",""
"C3","0.001uF","~","","1",""
"C4","2200pF","~","","1",""
"C5,C6,C7,C8,C9,C10","0.01uF","~","","6",""
"C11","0.1uF","~","","1",""
"C12","0.22uF","~","","1",""
"C13,C14","10uF","~","","2",""
"D1,D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"J1","EXP FM","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J2","1V/OCT","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J3","LINEAR FM","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J4","HARD SYNC","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J5","Eurorack connector","~","Connector_Harwin:Harwin_Gecko-G125-MVX1605L0X_2x08_P1.25mm_Vertical","1",""
"J6","TRIANGLE","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J7","RAMP","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J8","SINE","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J9","PWM","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"J10","PULSE","~","Connector_Audio:Jack_3.5mm_CUI_SJ1-3523N_Horizontal","1",""
"Q1,Q2","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Inline","2",""
"Q3","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","100","~","Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical","1",""
"R2,R3","390","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R4","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5,R26","39k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R6,R7","1.5k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R8","1.8k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R9,R10,R12","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R11","2k 3300ppm/C","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R13","2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R14,R15","4.7k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R16,R17,R18,R19,R20","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R21,R22","20k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R23,R27","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R24","25k","~","Potentiometer_SMD:Potentiometer_ACP_CA6-VSMD_Vertical","1",""
"R25","300k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R28,R29,R30,R31,R32,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44","100k","~","-- mixed values --","16",""
"R33","137k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R45,R53","120k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R46","150k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R47","330k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R48,R49,R50,R51","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R52","1.5M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R54","3.3M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R55","5.6k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","ICM7555xP","http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2","LM13700","http://www.ti.com/lit/ds/symlink/lm13700.pdf","","1",""
"U3,U4","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","","2",""
